"U:0,""U:1"",""U:2"",""p"",""vtkValidPointMask"",""arc_length"",""Points:0"",""Points:1"",""Points:2"""
0.062681,-3.3738e-05,0,0,1,0.00293,1.5,0.00293,0
0.062686,-3.3831e-05,0,0,1,0.00294,1.5,0.00294,0
0.062691,-3.3923e-05,0,0,1,0.00295,1.5,0.00295,0
0.062696,-3.4016e-05,0,0,1,0.00296,1.5,0.00296,0
0.062701,-3.4109e-05,0,0,1,0.00297,1.5,0.00297,0
0.062706,-3.4201e-05,0,0,1,0.00298,1.5,0.00298,0
0.062711,-3.4294e-05,0,0,1,0.00299,1.5,0.00299,0
0.062716,-3.4387e-05,0,0,1,0.003,1.5,0.003,0
0.062719,-3.4469e-05,0,5.0827e-19,1,0.00301,1.5,0.00301,0
0.062722,-3.4552e-05,0,5.0831e-19,1,0.00302,1.5,0.00302,0
0.062725,-3.4634e-05,0,0,1,0.00303,1.5,0.00303,0
0.062728,-3.4717e-05,0,0,1,0.00304,1.5,0.00304,0
0.06273,-3.4799e-05,0,0,1,0.00305,1.5,0.00305,0
0.062733,-3.4882e-05,0,0,1,0.00306,1.5,0.00306,0
0.062736,-3.4965e-05,0,0,1,0.00307,1.5,0.00307,0
0.062739,-3.5047e-05,0,0,1,0.00308,1.5,0.00308,0
0.062742,-3.513e-05,0,0,1,0.00309,1.5,0.00309,0
0.062744,-3.5212e-05,0,0,1,0.0031,1.5,0.0031,0
0.062747,-3.5295e-05,0,0,1,0.00311,1.5,0.00311,0
0.06275,-3.5377e-05,0,0,1,0.00312,1.5,0.00312,0
0.062753,-3.546e-05,0,0,1,0.00313,1.5,0.00313,0
0.062756,-3.5542e-05,0,0,1,0.00314,1.5,0.00314,0
0.062758,-3.5625e-05,0,0,1,0.00315,1.5,0.00315,0
0.062761,-3.5708e-05,0,0,1,0.00316,1.5,0.00316,0
0.062764,-3.579e-05,0,0,1,0.00317,1.5,0.00317,0
0.062767,-3.5873e-05,0,0,1,0.00318,1.5,0.00318,0
0.06277,-3.5955e-05,0,0,1,0.00319,1.5,0.00319,0
0.062773,-3.6038e-05,0,0,1,0.0032,1.5,0.0032,0
0.062775,-3.612e-05,0,0,1,0.00321,1.5,0.00321,0
0.062778,-3.6203e-05,0,0,1,0.00322,1.5,0.00322,0
0.062781,-3.6285e-05,0,0,1,0.00323,1.5,0.00323,0
0.062784,-3.6368e-05,0,0,1,0.00324,1.5,0.00324,0
0.062787,-3.645e-05,0,0,1,0.00325,1.5,0.00325,0
0.062787,-3.6522e-05,0,5.0929e-19,1,0.00326,1.5,0.00326,0
0.062787,-3.6593e-05,0,5.0933e-19,1,0.00327,1.5,0.00327,0
0.062787,-3.6665e-05,0,0,1,0.00328,1.5,0.00328,0
0.062787,-3.6736e-05,0,0,1,0.00329,1.5,0.00329,0
0.062787,-3.6808e-05,0,0,1,0.0033,1.5,0.0033,0
0.062787,-3.6879e-05,0,0,1,0.00331,1.5,0.00331,0
0.062787,-3.6951e-05,0,0,1,0.00332,1.5,0.00332,0
0.062787,-3.7022e-05,0,0,1,0.00333,1.5,0.00333,0
0.062787,-3.7094e-05,0,0,1,0.00334,1.5,0.00334,0
0.062787,-3.7165e-05,0,0,1,0.00335,1.5,0.00335,0
0.062788,-3.7237e-05,0,0,1,0.00336,1.5,0.00336,0
0.062788,-3.7308e-05,0,0,1,0.00337,1.5,0.00337,0
0.062788,-3.738e-05,0,0,1,0.00338,1.5,0.00338,0
0.062788,-3.7451e-05,0,0,1,0.00339,1.5,0.00339,0
0.062788,-3.7523e-05,0,0,1,0.0034,1.5,0.0034,0
0.062788,-3.7594e-05,0,0,1,0.00341,1.5,0.00341,0
0.062788,-3.7666e-05,0,0,1,0.00342,1.5,0.00342,0
0.062788,-3.7737e-05,0,0,1,0.00343,1.5,0.00343,0
0.062788,-3.7809e-05,0,0,1,0.00344,1.5,0.00344,0
0.062788,-3.788e-05,0,0,1,0.00345,1.5,0.00345,0
0.062789,-3.7952e-05,0,0,1,0.00346,1.5,0.00346,0
0.062789,-3.8023e-05,0,0,1,0.00347,1.5,0.00347,0
0.062789,-3.8095e-05,0,0,1,0.00348,1.5,0.00348,0
0.062789,-3.8166e-05,0,0,1,0.00349,1.5,0.00349,0
0.062789,-3.8238e-05,0,0,1,0.0035,1.5,0.0035,0
0.062786,-3.8297e-05,0,0,1,0.00351,1.5,0.00351,0
0.062783,-3.8357e-05,0,0,1,0.00352,1.5,0.00352,0
0.06278,-3.8416e-05,0,0,1,0.00353,1.5,0.00353,0
0.062777,-3.8475e-05,0,-5.086e-19,1,0.00354,1.5,0.00354,0
0.062773,-3.8535e-05,0,0,1,0.00355,1.5,0.00355,0
0.06277,-3.8594e-05,0,0,1,0.00356,1.5,0.00356,0
0.062767,-3.8654e-05,0,0,1,0.00357,1.5,0.00357,0
0.062764,-3.8713e-05,0,0,1,0.00358,1.5,0.00358,0
0.062761,-3.8772e-05,0,0,1,0.00359,1.5,0.00359,0
0.062758,-3.8832e-05,0,0,1,0.0036,1.5,0.0036,0
0.062755,-3.8891e-05,0,0,1,0.00361,1.5,0.00361,0
0.062752,-3.895e-05,0,0,1,0.00362,1.5,0.00362,0
0.062749,-3.901e-05,0,0,1,0.00363,1.5,0.00363,0
0.062746,-3.9069e-05,0,0,1,0.00364,1.5,0.00364,0
0.062742,-3.9129e-05,0,0,1,0.00365,1.5,0.00365,0
0.062739,-3.9188e-05,0,0,1,0.00366,1.5,0.00366,0
0.062736,-3.9247e-05,0,0,1,0.00367,1.5,0.00367,0
0.062733,-3.9307e-05,0,0,1,0.00368,1.5,0.00368,0
0.06273,-3.9366e-05,0,0,1,0.00369,1.5,0.00369,0
0.062727,-3.9426e-05,0,0,1,0.0037,1.5,0.0037,0
0.062724,-3.9485e-05,0,0,1,0.00371,1.5,0.00371,0
0.062721,-3.9544e-05,0,0,1,0.00372,1.5,0.00372,0
0.062718,-3.9604e-05,0,0,1,0.00373,1.5,0.00373,0
0.062715,-3.9663e-05,0,0,1,0.00374,1.5,0.00374,0
0.062711,-3.9723e-05,0,0,1,0.00375,1.5,0.00375,0
0.062705,-3.9769e-05,0,0,1,0.00376,1.5,0.00376,0
0.062698,-3.9815e-05,0,-5.0963e-19,1,0.00377,1.5,0.00377,0
0.062691,-3.9861e-05,0,0,1,0.00378,1.5,0.00378,0
0.062684,-3.9907e-05,0,0,1,0.00379,1.5,0.00379,0
